tau,spread,theta_firm
0.1,0.005,0.02667254782963577
0.1,0.02,0.025124162988333334
0.1,0.035,0.02360538977047558
0.2,0.005,0.05334509565927154
0.2,0.02,0.05024832597666667
0.2,0.035,0.04721077954095116
0.3,0.005,0.08001764348890732
0.3,0.02,0.075372488965
0.3,0.035,0.07081616931142674
0.4,0.005,0.10669019131854308
0.4,0.02,0.10049665195333334
0.4,0.035,0.09442155908190232
