escenario,npv_estado_por_trabajador,coste_fiscal_npv_por_trab,coste_total_M,anualidad_M,pct_PIB_anual,delta_presion_pp,delta_esfuerzo_pct
S0,337218.6698224171,0.0,0.0,0.0,0.0,0.0,0.0
S1,87830.11338679884,249388.55643561826,41149.11181187702,4823.931224058696,0.29235946812476943,0.29235946812476943,0.7796252483327185
S2,123431.1107795399,213787.55904287717,35274.94724207473,4135.299935658695,0.2506242385247694,0.2506242385247694,0.6683313027327183
S3,113934.33526231286,223284.33456010424,36841.9152024172,4318.996383483696,0.26175735657476945,0.26175735657476945,0.6980196175327186
